,brand,website,,llogo,llogo,cate,,,,,,,,,,,,,,,,,cate_1,cate_2,cate_3,cate_4,cate_5,cate_6
20,Crackle,https://www.crackle.com.in/,,https://www.google.com/s2/favicons?domain=www.crackle.com.in/&sz=128,https://www.google.com/s2/favicons?domain=www.crackle.com.in/&sz=128,"Free Movies Streaming Sites,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps",,,,,,,,,,,,,,,,,Free Movies Streaming Sites,Free Live TV Streaming Sites,Free TV Shows Streaming Sites,Free Streaming Apps,,
21,Crunchyroll,https://www.crunchyroll.com,,https://www.google.com/s2/favicons?domain=www.crunchyroll.com&sz=128,https://www.google.com/s2/favicons?domain=www.crunchyroll.com&sz=128,Anime Streaming Sites,,,,,,,,,,,,,,,,,Anime Streaming Sites,,,,,
22,d Anime Store,https://animestore.docomo.ne.jp,,https://www.google.com/s2/favicons?domain=animestore.docomo.ne.jp&sz=128,https://www.google.com/s2/favicons?domain=animestore.docomo.ne.jp&sz=128,Anime Streaming Sites,,,,,,,,,,,,,,,,,Anime Streaming Sites,,,,,
23,DirecTV Stream,https://www.directv.com/stream,,https://www.google.com/s2/favicons?domain=www.directv.com/stream&sz=128,https://www.google.com/s2/favicons?domain=www.directv.com/stream&sz=128,"Live TV Streaming Sites,Best Movie Streaming Sites",,,,,,,,,,,,,,,,,Live TV Streaming Sites,Best Movie Streaming Sites,,,,
24,Discovery+,https://www.discoveryplus.com,,https://www.google.com/s2/favicons?domain=www.discoveryplus.com&sz=128,https://www.google.com/s2/favicons?domain=www.discoveryplus.com&sz=128,"Free Streaming Apps,Best Movie Streaming Sites",,,,,,,,,,,,,,,,,Free Streaming Apps,Best Movie Streaming Sites,,,,
25,Disney+,https://www.disneyplus.com,,https://www.google.com/s2/favicons?domain=www.disneyplus.com&sz=128,https://www.google.com/s2/favicons?domain=www.disneyplus.com&sz=128,"Anime Streaming Sites,Best Movie Streaming Sites",,,,,,,,,,,,,,,,,Anime Streaming Sites,Best Movie Streaming Sites,,,,
26,Disney+ Hotstar,https://www.hotstar.com,,https://www.google.com/s2/favicons?domain=www.hotstar.com&sz=128,https://www.google.com/s2/favicons?domain=www.hotstar.com&sz=128,Best Movie Streaming Sites,,,,,,,,,,,,,,,,,Best Movie Streaming Sites,,,,,
27,DMM TV,https://tv.dmm.com,,https://www.google.com/s2/favicons?domain=tv.dmm.com&sz=128,https://www.google.com/s2/favicons?domain=tv.dmm.com&sz=128,Anime Streaming Sites,,,,,,,,,,,,,,,,,Anime Streaming Sites,,,,,
28,DoraWatch,https://dorawatch.net/,,https://www.google.com/s2/favicons?domain=dorawatch.net/&sz=128,https://www.google.com/s2/favicons?domain=dorawatch.net/&sz=128,Free Movies Streaming Sites,,,,,,,,,,,,,,,,,Free Movies Streaming Sites,,,,,
29,Flixtor,https://flixtor.to,,https://www.google.com/s2/favicons?domain=flixtor.to&sz=128,https://www.google.com/s2/favicons?domain=flixtor.to&sz=128,Free Movies Streaming Sites,,,,,,,,,,,,,,,,,Free Movies Streaming Sites,,,,,
30,Fmovies,https://ww4.fmovies.co/,,https://www.google.com/s2/favicons?domain=ww4.fmovies.co/&sz=128,https://www.google.com/s2/favicons?domain=ww4.fmovies.co/&sz=128,Free Movies Streaming Sites,,,,,,,,,,,,,,,,,Free Movies Streaming Sites,,,,,
31,fubo,https://www.fubo.tv,,https://www.google.com/s2/favicons?domain=www.fubo.tv&sz=128,https://www.google.com/s2/favicons?domain=www.fubo.tv&sz=128,Live TV Streaming Sites,,,,,,,,,,,,,,,,,Live TV Streaming Sites,,,,,
32,Globoplay,https://globoplay.globo.com,,https://www.google.com/s2/favicons?domain=globoplay.globo.com&sz=128,https://www.google.com/s2/favicons?domain=globoplay.globo.com&sz=128,"Best Movie Streaming Sites,Free TV Shows Streaming Sites",,,,,,,,,,,,,,,,,Best Movie Streaming Sites,Free TV Shows Streaming Sites,,,,
33,Gogoanime,https://gogoanime3.net,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-89EzRy6gOeV_P6swaSGXeZbDhuNaEXNWlw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-89EzRy6gOeV_P6swaSGXeZbDhuNaEXNWlw&s,"Anime Streaming Sites,Free Movies Streaming Sites,Free TV Shows Streaming Sites",,,,,,,,,,,,,,,,,Anime Streaming Sites,Free Movies Streaming Sites,Free TV Shows Streaming Sites,,,
34,Goojara,https://ww1.goojara.to/,,https://online.anyflip.com/bddfa/accountlogo.png?0,https://online.anyflip.com/bddfa/accountlogo.png?0,Free Movies Streaming Sites,,,,,,,,,,,,,,,,,Free Movies Streaming Sites,,,,,
35,Hianime,https://hianime.to,,https://www.google.com/s2/favicons?domain=hianime.to&sz=128,https://www.google.com/s2/favicons?domain=hianime.to&sz=128,Anime Streaming Sites,,,,,,,,,,,,,,,,,Anime Streaming Sites,,,,,
36,HIDIVE,https://www.hidive.com,,https://www.google.com/s2/favicons?domain=www.hidive.com&sz=128,https://www.google.com/s2/favicons?domain=www.hidive.com&sz=128,Anime Streaming Sites,,,,,,,,,,,,,,,,,Anime Streaming Sites,,,,,
37,Hoopla,https://www.hoopladigital.com,,https://www.google.com/s2/favicons?domain=www.hoopladigital.com&sz=128,https://www.google.com/s2/favicons?domain=www.hoopladigital.com&sz=128,"Free TV Shows Streaming Sites,Free Streaming Apps",,,,,,,,,,,,,,,,,Free TV Shows Streaming Sites,Free Streaming Apps,,,,
38,Hulu,https://www.hulu.com,,https://www.google.com/s2/favicons?domain=www.hulu.com&sz=128,https://www.google.com/s2/favicons?domain=www.hulu.com&sz=128,"Live TV Streaming Sites,Anime Streaming Sites,Best Movie Streaming Sites",,,,,,,,,,,,,,,,,Live TV Streaming Sites,Anime Streaming Sites,Best Movie Streaming Sites,,,
39,Iflix,https://www.iflix.com,,https://www.google.com/s2/favicons?domain=www.iflix.com&sz=128,https://www.google.com/s2/favicons?domain=www.iflix.com&sz=128,"Anime Streaming Sites,Best Movie Streaming Sites,Free Streaming Apps",,,,,,,,,,,,,,,,,Anime Streaming Sites,Best Movie Streaming Sites,Free Streaming Apps,,,
40,iQIYI,https://www.iqiyi.com,,https://www.google.com/s2/favicons?domain=www.iqiyi.com&sz=128,https://www.google.com/s2/favicons?domain=www.iqiyi.com&sz=128,Best Movie Streaming Sites,,,,,,,,,,,,,,,,,Best Movie Streaming Sites,,,,,
